filepath,disease,severity,label_10,fold
FMD\Stage1\101_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\1041_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\1045_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\1065_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\107_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\1092_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\1099_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\10_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\1100_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\1132_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\115_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\1162_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\116_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\1178_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\1181_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\121_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\123_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\126_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\1298_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\129_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\133_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\1430_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\146_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\14_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\153_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\154_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\157_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\158_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\159_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\15_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\161_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\1639_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\1653_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\185_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\186_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\190_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\191_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\192_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\194_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\195_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\199_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\203_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\204_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\217_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\218_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\219_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2340_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\2361_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\2407_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\242_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\244_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\245_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\2463_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\247_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\248_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\249_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2515_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\252_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2557_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\2564_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\2568_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2578_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2604_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2609_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2612_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2616_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2617_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2618_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\2620_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2621_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\2622_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\2624_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2625_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2627_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\2628_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\2629_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\2630_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\2641_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2649_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\2650_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\2652_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\265_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\266_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\270_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\271_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\280_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\2902_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\2904_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3032_fmd.jpeg,fmd,1.0,fmd_s1,1
FMD\Stage1\3033_fmd.jpeg,fmd,1.0,fmd_s1,1
FMD\Stage1\3055_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3058_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3089_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3101_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3102_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\3103_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3105_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3111_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3112_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3404_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3413_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3416_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\3417_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3425_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3426_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3430_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3435_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3436_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\3437_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3438_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3441_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\3442_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3443_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3444_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3445_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3446_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\3447_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3448_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3449_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\3450_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\3451_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3452_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3453_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\3454_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3455_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3458_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\3503_fmd.png,fmd,1.0,fmd_s1,1
FMD\Stage1\3504_fmd.jpg,fmd,1.0,fmd_s1,4
FMD\Stage1\3512_fmd.jpeg,fmd,1.0,fmd_s1,0
FMD\Stage1\3514_fmd.jpeg,fmd,1.0,fmd_s1,2
FMD\Stage1\3515_fmd.jpeg,fmd,1.0,fmd_s1,4
FMD\Stage1\3516_fmd.jpeg,fmd,1.0,fmd_s1,3
FMD\Stage1\3517_fmd.jpeg,fmd,1.0,fmd_s1,2
FMD\Stage1\3518_fmd.jpeg,fmd,1.0,fmd_s1,4
FMD\Stage1\3521_fmd.jpeg,fmd,1.0,fmd_s1,0
FMD\Stage1\3522_fmd.jpeg,fmd,1.0,fmd_s1,0
FMD\Stage1\3523_fmd.jpeg,fmd,1.0,fmd_s1,1
FMD\Stage1\3524_fmd.jpeg,fmd,1.0,fmd_s1,2
FMD\Stage1\3525_fmd.jpeg,fmd,1.0,fmd_s1,1
FMD\Stage1\3526_fmd.jpeg,fmd,1.0,fmd_s1,4
FMD\Stage1\3527_fmd.jpeg,fmd,1.0,fmd_s1,4
FMD\Stage1\3528_fmd.jpeg,fmd,1.0,fmd_s1,4
FMD\Stage1\3542_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\3543_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\3563_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\383_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\456_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\49_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\597_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage1\743_fmd.jpg,fmd,1.0,fmd_s1,1
FMD\Stage1\75_fmd.jpg,fmd,1.0,fmd_s1,2
FMD\Stage1\842_fmd.jpg,fmd,1.0,fmd_s1,0
FMD\Stage1\95_fmd.jpg,fmd,1.0,fmd_s1,3
FMD\Stage2\1000_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1002_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1003_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1004_fmd.jpg,fmd,2.0,fmd_s2,0
FMD\Stage2\1005_fmd.jpg,fmd,2.0,fmd_s2,4
FMD\Stage2\1006_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1007_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1009_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\100_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1010_fmd.jpg,fmd,2.0,fmd_s2,1
FMD\Stage2\1011_fmd.jpg,fmd,2.0,fmd_s2,2
FMD\Stage2\1012_fmd.jpg,fmd,2.0,fmd_s2,3
FMD\Stage2\1015_fmd.jpg,fmd,2.0,fmd_s2,3
