filepath,disease,severity,label_10
FMD\Stage1\101_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\102_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1041_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1045_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1065_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\107_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1092_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1099_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\10_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1100_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1132_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\115_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1162_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\116_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1175_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1178_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1181_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\121_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\123_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\126_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\127_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1289_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1298_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\129_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\133_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1430_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\146_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\14_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\153_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\154_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\157_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\158_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\159_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\15_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\161_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1639_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\1653_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\16_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\185_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\186_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\190_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\191_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\192_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\194_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\195_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\199_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\203_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\204_fmd.jpg,fmd,1,fmd_s1
FMD\Stage1\20_fmd.jpg,fmd,1,fmd_s1
